                0       TOTAL        AMBER     CONTACTS          SOL           HB  | TEMPERATURE
Sim Anneal   5000  3.3864e+03   2.4096e+03   1.6858e+03   1.7288e+03  -2.4379e+03  | 800.000
Sim Anneal   6000  3.3614e+03   2.3846e+03   1.6894e+03   1.7205e+03  -2.4331e+03  | 760.000
Sim Anneal   7000  3.2569e+03   2.4250e+03   1.5396e+03   1.7305e+03  -2.4383e+03  | 720.000
Sim Anneal   8000  3.0467e+03   2.3478e+03   1.3749e+03   1.7617e+03  -2.4378e+03  | 680.000
Sim Anneal   9000  3.0127e+03   2.3072e+03   1.3844e+03   1.7609e+03  -2.4398e+03  | 640.000
Sim Anneal  10000  2.8830e+03   2.1893e+03   1.3702e+03   1.7656e+03  -2.4422e+03  | 600.000
Sim Anneal  11000  2.8298e+03   2.2239e+03   1.1872e+03   1.8559e+03  -2.4372e+03  | 560.000
Sim Anneal  12000  2.7895e+03   2.3111e+03   1.1073e+03   1.8055e+03  -2.4344e+03  | 520.000
Sim Anneal  13000  2.7416e+03   2.2489e+03   1.1309e+03   1.7958e+03  -2.4340e+03  | 480.000
Sim Anneal  14000  2.7076e+03   2.1896e+03   1.1927e+03   1.7563e+03  -2.4309e+03  | 440.000
Sim Anneal  15000  2.7147e+03   2.2002e+03   1.2431e+03   1.7049e+03  -2.4335e+03  | 400.000
Sim Anneal  16000  2.6936e+03   2.1882e+03   1.2266e+03   1.7122e+03  -2.4334e+03  | 360.000
Sim Anneal  17000  2.6387e+03   2.2021e+03   1.1098e+03   1.7624e+03  -2.4356e+03  | 320.000
Sim Anneal  18000  2.6233e+03   2.2104e+03   1.0891e+03   1.7581e+03  -2.4343e+03  | 280.000
Sim Anneal  19000  2.5762e+03   2.1789e+03   1.1316e+03   1.6975e+03  -2.4318e+03  | 240.000
Sim Anneal  20000  2.4993e+03   2.1179e+03   1.1049e+03   1.7143e+03  -2.4377e+03  | 200.000
