(REFNM)          111 | ⚡E:  2.471e+03 ▶️ ⚡Amber:  2.119e+03 & ⚡Other:  3.523e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4595 | T: 200.00
(REFNM)          112 | ⚡E:  2.471e+03 ▶️ ⚡Amber:  2.119e+03 & ⚡Other:  3.523e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4554 | T: 200.00
(REFNM)          113 | ⚡E:  2.471e+03 ▶️ ⚡Amber:  2.119e+03 & ⚡Other:  3.523e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4513 | T: 200.00
(REFNM)          114 | ⚡E:  2.465e+03 ▶️ ⚡Amber:  2.073e+03 & ⚡Other:  3.916e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4561 | T: 200.00
(REFNM)          115 | ⚡E:  2.456e+03 ▶️ ⚡Amber:  2.068e+03 & ⚡Other:  3.889e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4609 | T: 200.00
(REFNM)          116 | ⚡E:  2.439e+03 ▶️ ⚡Amber:  2.051e+03 & ⚡Other:  3.882e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4655 | T: 200.00
(REFNM)          117 | ⚡E:  2.439e+03 ▶️ ⚡Amber:  2.051e+03 & ⚡Other:  3.882e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4615 | T: 200.00
(REFNM)          118 | ⚡E:  2.439e+03 ▶️ ⚡Amber:  2.051e+03 & ⚡Other:  3.882e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4576 | T: 200.00
(REFNM)          119 | ⚡E:  2.439e+03 ▶️ ⚡Amber:  2.051e+03 & ⚡Other:  3.882e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4538 | T: 200.00
(REFNM)          120 | ⚡E:  2.550e+03 ▶️ ⚡Amber:  2.164e+03 & ⚡Other:  3.860e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4583 | T: 200.00
(REFNM)          121 | ⚡E:  2.256e+03 ▶️ ⚡Amber:  1.867e+03 & ⚡Other:  3.890e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4628 | T: 200.00
(REFNM)          122 | ⚡E:  2.491e+03 ▶️ ⚡Amber:  2.102e+03 & ⚡Other:  3.898e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4672 | T: 200.00
(REFNM)          123 | ⚡E:  2.491e+03 ▶️ ⚡Amber:  2.102e+03 & ⚡Other:  3.898e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4634 | T: 200.00
